Feature,Coefficient,Importance (abs),Importance (%)
OverTime_Yes,2.086177638239893,2.086177638239893,16.86134722909439
JobRole_Research Director,-1.711149354309107,1.711149354309107,13.830214117427303
BusinessTravel_Travel_Frequently,1.1034980292333627,1.1034980292333627,8.91892574077409
MaritalStatus_Single,1.067869464440243,1.067869464440243,8.630961000265259
JobRole_Sales Representative,0.987474181141572,0.987474181141572,7.981173195798137
YearsWithCurrManager,-0.8775972837740841,0.8775972837740841,7.093102839271892
JobRole_Manager,-0.778344771054299,0.778344771054299,6.290903136977912
JobRole_Laboratory Technician,0.6470528212613361,0.6470528212613361,5.229747503217153
EnvironmentSatisfaction,-0.645864486275833,0.645864486275833,5.220142890240881
BusinessTravel_Travel_Rarely,0.6028274459149504,0.6028274459149504,4.872299797718025
YearsSinceLastPromotion,0.5775432789734756,0.5775432789734756,4.6679427427942235
Department_Research & Development,-0.5204208135503107,0.5204208135503107,4.206255441374129
JobSatisfaction,-0.3573749242795147,0.3573749242795147,2.8884513853442493
EducationField_Technical Degree,0.2342730435212989,0.2342730435212989,1.8934912640335415
Age,-0.17507666168638653,0.17507666168638653,1.4150417156687933
